"","Species","Song.ID","Date..MDY.","Time","Locality","GPS.coordinate.N","GPS.coordinate.W","Elevation..m.","Habitat.Type","X..Canopy.Cover","Dominant.Species","Tree.Size.Class","Understory.code","Est.dist.from.recorder","Background.species","Disturbance.in.recording.","Banded","Recorder.Initials","Number.of.files","Usable","songs.to.analyze","buzzy.or.clear","Notes"
"126","Setophaga townsendi","SRF10M03","6/10/2017","7:00","Butze Rapids Trail, Prince Rupert","54 17.960","130 15.933",59,"Conifer",75,"Western Hemlock",5,"6","30","PSFL, RBSA","construction","N","MJO",1,"yes",NA,"clear",NA
"127","Setophaga townsendi","SRF10M04","6/10/2017","7:26","Butze Rapids Trail, Prince Rupert","54 17.943","130 15.890",48,"Conifer",70,"Western Hemlock, Sitka Spruce",4,"6","20","PSFL","stream","Y","MJO",2,"yes (1,2)",NA,"clear",NA
"128","Setophaga townsendi","SRF10M05","6/10/2017","8:29","Butze Rapids Trail, Prince Rupert","54 18.072","130 15.157",40,"Conifer",70,"Western Hemlock, Red Cedar",3,"6","20-25",NA,"Construction","Y","MJO",2,"maybe (1,2)",NA,"b/c","buzzy in rec 1. clear in rec 2."
"129","Setophaga townsendi","SRF10M06","6/10/2017","9:15","Butze Rapids Trail, Prince Rupert","54 17.979","130 14.926",22,"Conifer",NA,"Western Hemlock, Red Cedar",3,"6","20",NA,NA,"Y","LIMM",1,"yes",NA,"clear",NA
"130","Setophaga townsendi","SRF11M01","6/11/2017","6:24","Tall Trees Trail, Prince Rupert","54 18.082","130 16.178",82,"Conifer",80,"Western Hemlock",3,"4","10",NA,"Construction","Y","MJO",1,"yes",NA,"clear","another TOWA singing buzzy song in distance"
"131","Setophaga townsendi","SRF11M02","6/11/2017","8:17","Tall Trees Trail, Prince Rupert","54 17.950","130 16.495",120,"Conifer",80,"Western Hemlock, Red Cedar, Sitka Spruce",3,"6","10","PSFL, BAEA","traffic","Y","MJO",1,"yes",NA,"b/c","closer then moved more distant"
"132","Setophaga townsendi","SRF11M03","6/11/2017","9:20","Tall Trees Trail, Prince Rupert","54 17.930","130 16.544",138,"Conifer",80,"Western Hemlock, Red Cedar, Sitka Spruce",4,"6","40",NA,"people","Y","MJO",1,"yes",NA,"clear",NA
"133","Setophaga townsendi","SRF12M01","6/12/2017","7:30","Hwy 113, Terrace","54 39.915","128 42.963",170,"Conifer",98,"Western Hemlock",3,"2","10","CAVI","traffic","Y","MJO",1,"yes",NA,"buzzy","buzzy songs"
"134","Setophaga townsendi","SRF12M02","6/12/2017","9:10","Lost Lake FSR, Terrace","54 36.531","128 38.077",223,"Conifer",70,"Western Hemlock",5,"2","15","CBCH, WETA",NA,"Y","MJO",1,"yes",NA,"clear",NA
"135","Setophaga townsendi","SRF12M03","6/12/2017","9:40","Lost Lake FSR, Terrace","54 36.578","128 37.719",225,"Conifer",80,"Western Hemlock",4,"2","25-Oct",NA,NA,"N","MJO",2,"yes (1,2)",NA,"b/c","""toWA 3' in rec. no voice information at end of recording. Buzzy in shared rec"
"136","Setophaga townsendi","SRF12M04","6/12/2017","9:55","Lost Lake FSR, Terrace","54 36.618","128 37.644",215,"Conifer",80,"Western Hemlock",4,"5","15-25",NA,NA,"Y","MJO",2,"yes (1,2)",NA,"b/c","towa 4 in rec. buzzy in shared rec"
"137","Setophaga townsendi","SRF12M05","6/12/2017","10:50","Lost Lake FSR, Terrace","54 36.990","128 37.720",272,"Conifer",90,"Red Cedar",3,"3","10",NA,"car door","N","MJO",1,"yes",NA,"buzzy",NA
"138","Setophaga townsendi","SRF13M01","6/13/2017","5:55","Pine Lake Trail, Terrace","54.36.667","128 43.455",244,"Conifer",98,"Pacific Silver Fir",5,"2","15","WETA",NA,"Y","MJO",2,"maybe (1)",NA,"clear",NA
"139","Setophaga townsendi","SRF13M02","6/13/2017","7:00","Pine Lake Trail, Terrace","54 36.768","128 43.480",254,"Conifer",90,"Pacific Silver Fir",4,"2","25-Oct","RECR, RBNU","mosquitoes","N","MJO",3,"yes (1,3)",NA,"b/c","SRF13M03 heard in background. Buzzy and clear songs. Buzzy in rec 1. clear in rec 3"
"140","Setophaga townsendi","SRF13M03","6/13/2017","7:25","Pine Lake Trail, Terrace","54 36.855","128 43.487",259,"Conifer",95,"Pacific Silver Fir",4,"2","25",NA,NA,"Y","MJO",1,"yes",NA,"clear","buzzy and clear songs"
"141","Setophaga townsendi","SRF13M04","6/13/2017","7:55","Pine Lake Trail, Terrace","54 36.991","128 43.517",266,"Conifer",80,"Pacific Silver Fir",2,"2","20-Oct",NA,NA,"Y","LIMM",1,"yes",NA,"clear",NA
"142","Setophaga townsendi","SRF14M01","6/14/2017","6:24","Wedeene FSR, Kitimat","54 14.523","128 40.274",154,"Conifer",95,"Pacific Silver Fir",4,"4","10","PSFL, BCCH","stream","Y","MJO",1,"yes",NA,"clear",NA
"143","Setophaga townsendi","SRF14M02","6/14/2017","7:15","Wedeene FSR, Kitimat","54 15.572","128 39.330",215,"Conifer",98,"Sitka Spruce",4,"2","5","YRWA",NA,"Y","MJO",1,"yes",NA,"buzzy",NA
"144","Setophaga townsendi","SRF14M03","6/14/2017","8:00","Wedeene FSR, Kitimat","54 15.721","128 39.380",201,"Conifer",95,"Western Hemlock, Sitka Spruce",2,"1","20-May",NA,NA,"Y","LIMM",1,"yes",NA,"b/c",NA
"145","Setophaga townsendi","SRF14M04","6/14/2017","8:45","Wedeene FSR, Kitimat","54 16.348","128 39.294",198,"Conifer",90,"Western Hemlock, Sitka Spruce",2,"1","20-May",NA,NA,"Y","LIMM",1,"maybe",NA,"clear","Dramatic shift in forest (within 2-6m) from where the recording was started and ended, from 90% cover sitka spruce to 60% cover W hemlock "
"146","Setophaga townsendi","SRF14M05","6/14/2017","9:45","Wedeene FSR, Kitimat","54 16.901","129 38.820",195,"Conifer",98,"Pacific Silver Fir",4,"2","10",NA,"stream","N","MJO",1,"yes",NA,"clear","weird song, neighbor TOWA nearby"
"147","Setophaga townsendi","SRF14M06","6/14/2017","10:40","Wedeene FSR, Kitimat","54 16.941","128 36.215",199,"Conifer",95,"Western Hemlock",2,"1","10","YRWA",NA,"N","MJO",1,"yes",NA,"clear",NA
"148","Setophaga townsendi","SRF16M01","6/16/2017","6:24","Mitten FSR, Gitanyow","55 38.758","128 27.935",575,"Conifer",80,"Western Hemlock",3,"2","15",NA,"wind","N","MJO",1,"maybe",NA,"buzzy","SRF16M02 in background"
"149","Setophaga townsendi","SRF16M02","6/16/2017","6:48","Mitten FSR, Gitanyow","55 38.743","128 27.960",567,"Conifer",80,"Western Hemlock",3,"4","20",NA,"wind","Y","MJO",1,"maybe",NA,"clear",NA
"150","Setophaga townsendi","SRF16M04","6/16/2017","7:45","Mitten FSR, Gitanyow","55 39.034","128 22.838",590,"Conifer",NA,"Western Hemlock",2,NA,"10",NA,"cough, water, squirrel","N","LIMM",1,"yes",NA,"clear",NA
"151","Setophaga townsendi","SRF17M01","6/17/2017","6:00","Clements Lake, Stewart","56 02.409","129 54.060",127,"Conifer",95,"Western Hemlock, Sitka Spruce",4,"5","5","PSFL, VATH, SWTH",NA,"N","MJO",2,"yes (1,2)",NA,"b/c","buzzy in rec 1, maybe not good enough quality"
"152","Setophaga townsendi","SRF17M02","6/17/2017","6:13","Clements Lake, Stewart","56 02.388","129 54.120",113,"Conifer",95,"Western Hemlock, Sitka Spruce",4,"5","20-May","PSFL, SWTH",NA,"Y","MJO",3,"yes (1,2,3)",NA,"b/c","buzzy in rec 1, maybe not good enough quality"
"153","Setophaga townsendi","SRF17M03","6/17/2017","7:15","Clements Lake, Stewart","56 02.263","129 53.915",124,"Conifer",85,"Western Hemlock",2,"1","20",NA,NA,"N","LIMM",2,"yes (1)",NA,"buzzy","Recording picked up both SRF17M03 + SRF17M04, unable to tell apart. 3rd rec is close up of SRF17M03"
"154","Setophaga townsendi","SRF17M04","6/17/2017","7:30","Clements Lake, Stewart","56 02.267","129 53.938",120,"Conifer",85,"Western Hemlock",2,"1","20",NA,NA,"N","LIMM",2,"yes (2)",NA,"clear","Recording picked up both SRF17M03 + SRF17M04, unable to tell apart. 3rd rec is close up of SRF17M04"
"155","Setophaga townsendi","SRF17M05","6/17/2017","9:00","Unnamed Rd off Hwy 37a, Stewart","56 06.117","129 53.031",146,"Conifer",90,"Western Hemlock",5,"4","5","PSFL",NA,"Y","MJO",2,"yes (1,2)",NA,"clear",NA
"156","Setophaga townsendi","SRF17M06","6/17/2017","10:22","American Creek Trail, Stewart","56 06.184","129 52.657",177,"Conifer",90,"Western Hemlock",4,"4","10","PSFL","squirrel","Y","MJO",2,"maybe (1,2)",NA,"buzzy",NA
"157","Setophaga townsendi","SRF18M01","6/18/2017","8:15","American Creek Trail, Stewart","56 06.888","129 53.056",222,"Conifer",80,"Western Hemlock",5,"5","15","DEJU, PSFL, PISI","Squirrel","Y","MJO",3,"yes (1,2)",NA,"clear","buzzy and clear songs. Last two tracks taken after banding"
"158","Setophaga townsendi","SRF18M02","6/18/2017","9:38","American Creek Trail, Stewart","56 07.568","129 53.543",282,"Conifer",NA,"Western Hemlock",3,NA,"10",NA,"creek","N","MJO",1,"yes",NA,"clear","clear song in recording"
"159","Setophaga townsendi","SRF18M04","6/18/2017","11:20","American Creek Trail, Stewart","56 07.455","129 53.495",283,"Conifer",70,"Western Hemlock",4,"5","15-Oct",NA,NA,"N","LIMM",1,"yes",NA,"clear",NA
"160","Setophaga townsendi","SRF18M05","6/18/2017","12:13","American Creek Trail, Stewart","56 06.283","129 53.000",145,"Mixed Conifer and Hardwood",85,"Western Hemlock",3,"4","15-Oct",NA,"wind, trees cracking","N","LIMM",1,"yes",NA,"clear",NA
"161","Setophaga townsendi","SRF18M06","6/18/2017","12:30","American Creek Trail, Stewart","56 06.094","129 52.657",162,"Conifer",85,"Western Hemlock",2,"1","15-Oct",NA,NA,"N","LIMM",1,"yes",NA,"clear",NA
"162","Setophaga townsendi","SRF20M01","6/20/2017","6:10","Blue Lake Rd, Williams Lake","52 20.570","122 08.857",990,"Conifer",50,"Douglas Fir",3,"4","17",NA,NA,"Y","MJO",1,"yes",NA,"buzzy","buzzy song"
"163","Setophaga townsendi","SRF22M01","6/22/2017","7:44","Bulter Peak Trail, Tatla Lake","51 45.892","124 41.158",1072,"Conifer",70,"Lodgepole Pine",2,"3","15",NA,"stream","Y","MJO",2,"yes (2)",NA,"clear","buzzy song in rec 1, probably not good enough quality"
"164","Setophaga townsendi","SRF22M02","6/22/2017","8:47","Bulter Peak Trail, Tatla Lake","51 45.854","124 40.911",1091,"Mixed Conifer and Hardwood",50,"Lodgepole Pine, Trembling Aspen",2,"6","5","MGWA","stream","N","MJO",2,"yes (1,2)",NA,"buzzy","buzzy song"
"165","Setophaga townsendi","SRF22M03","6/22/2017","9:02","Bulter Peak Trail, Tatla Lake","51 45.834","124 41.063",1069,"Conifer",70,"Lodgepole Pine",2,"4","40",NA,"stream","N","MJO",3,"yes (1,2)",NA,"clear","recorded from other side of stream, clear song recorded 25 June 2017"
"166","Setophaga townsendi","SRF23M01","6/23/2017","5:30","Saloompt Forest Trail, Hagensborg","52 23.865","126 31.890",68,"Conifer",90,"Red Cedar",5,"4","5","PAWR, AMRO","river, squirrel","Y","MJO",2,"yes (_2)",NA,"clear","buzzy song was natural"
"167","Setophaga townsendi","SRF23M02","6/23/2017","5:40","Saloompt Forest Trail, Hagensborg","52 23.900","126 31.923",60,"Conifer",90,"Red Cedar",5,"4","5","PAWR","river, squirrel","Y","MJO",1,"yes",NA,"clear",NA
"168","Setophaga townsendi","SRF23M03","6/23/2017","6:40","Saloompt Forest Trail, Hagensborg","52 23.895","126 32.142",62,"Conifer",90,"Red Cedar",5,"4","5","BAEA",NA,"N","MJO",2,"yes (_1)",NA,"clear",NA
"169","Setophaga townsendi","SRF23M07","6/23/2017","9:25","Lost Lake Trail, Hagensborg","52 25.086","126 28.016",269,"Conifer",80,"Red Cedar",4,"1","20",NA,NA,"Y","LIMM",2,"yes (_1,_2)",NA,"b/c",NA
"170","Setophaga townsendi","SRF24M01","6/24/2017","5:50","Snooka Trail, Bella Coola","52 21.448","126 38.922",213,"Conifer",80,"Western Hemlock",5,"5","5","PAWR","creek","Y","MJO",2,"yes (1,2)",NA,"clear","1st recording: weird song, sang directly above observer. 2nd rec: recorded after observer moved away, sounded like natural song"
"171","Setophaga townsendi","SRF24M02","6/24/2017","7:10","Snooka Trail, Bella Coola","52 21.599","126 39.120",93,"Conifer",80,"Red Cedar",5,"4","10-May",NA,"creek","Y","MJO",2,"yes (1,2)",NA,"clear",NA
"172","Setophaga townsendi","SRF24M03","6/24/2017","8:25","Snooka Trail, Bella Coola","52 21.673","126 39.583",51,"Conifer",70,"Western Hemlock, Red Alder",5,"4","10","WAVI","stream","Y","MJO",2,"maybe (1)",NA,"clear",NA
"173","Setophaga townsendi","SRF24M04","6/24/2017","9:20","Big Cedars Trail, Bella Coola","52 22.816","126 37.321",36,"Conifer",60,"Red Cedar",5,"4","10","WAVI",NA,"N","MJO",2,"maybe (1)",NA,"buzzy","buzzy song"
"174","Setophaga townsendi","SRF24M05","6/24/2017","9:27","Big Cedars Trail, Bella Coola","52 22.807","126 37.283",56,"Conifer",60,"Red Cedar",5,"4","20","SWTH, HAWO, WAVI","squirrel","N","MJO",3,"maybe (1)",NA,"buzzy","buzzy and clear song"
"175","Setophaga townsendi","SRF25M01","6/25/2017","6:20","Bulter Peak Trail, Tatla Lake","51 45.851","124 40.569",1141,"Conifer",50,"Lodgepole Pine",2,"4","10",NA,"creek","Y","MJO",2,"yes (1,2)",NA,"b/c","clear in rec 1. buzzy in rec 2"
"176","Setophaga townsendi","SRF25M02","6/25/2017","8:30","Bluff Lake Rd, Tatla Lake","51 46.069","124 42.359",965,"Conifer",50,"Lodgepole Pine",2,"1","15-Oct",NA,NA,"Y","LIMM",3,"yes (2,3)",NA,"b/c",NA
"177","Setophaga townsendi","SRF27M01","6/27/2017","6:20","Big Bar Lake Rd, Kelly Lake","51 01.392","121 46.377",1136,"Conifer",70,"Douglas Fir",5,"3","5","HAFL","stream","Y","MJO",1,"yes",NA,"b/c","buzzy and clear songs both sound odd"
"178","Setophaga townsendi","SRF27M02","6/27/2017","7:10","Big Bar Lake Rd, Kelly Lake","51 01.950","121 46.775",1157,"Conifer",NA,"Hybrid Spruce",4,"2","20",NA,"stream","N","MJO",1,"maybe",NA,"buzzy","buzzy song"
"179","Setophaga townsendi","SRF27M04","6/27/2017","8:40","Big Bar Lake Rd, Kelly Lake","51 04.141","121 49.7566",1318,"Conifer",90,"Hybrid Spruce",4,"5","15",NA,"traffic","N","LIMM",1,"yes",NA,"clear","clear song"
"180","Setophaga townsendi","SRF27M05","6/27/2017","9:02","Big Bar Lake Rd, Kelly Lake","51 04.397","121 50.168",1332,"Conifer",45,"Hybrid Spruce",4,"4","5",NA,"stream","Y","MJO",2,"yes (2)",NA,"clear",NA
"181","Setophaga townsendi","SRF27M06","6/27/2017","9:17","Big Bar Lake Rd, Kelly Lake","51 04.427","121 50.249",1355,"Conifer",70,"Hybrid Spruce",3,"4","15",NA,"stream","Y","MJO",2,"yes (2)",NA,"buzzy","buzzy song only"
"182","Setophaga townsendi","SRF28M01","6/28/2017","7:40","Grinder Trailhead Rd, Clinton","51 12.504","121 59.963",1122,"Conifer",70,"Hybrid Spruce",3,"3","20-May",NA,"stream","Y","MJO",3,"yes(2)",NA,"clear","clear song only"
"183","Setophaga townsendi","SRF28M02","6/28/2017","7:44","Grinder Trail, Clinton","51 11.990","121 59.972",1154,"Conifer",60,"Hybrid Spruce",2,"2","8","RCKI, DUFL",NA,"N","MJO",2,"yes (1,2)",NA,"clear","weird song, sounded like a mix of clear and buzzy songs"
"184","Setophaga townsendi","SRF28M04","6/28/2017","11:00","Grinder Trailhead Rd, Clinton","51 12.167","121 59.981",1156,"Mixed Conifer and Hardwood",70,"Trembling Apsen, Douglas Fir",3,"3","8",NA,"stream","N","MJO",1,"yes",NA,"clear",NA
"185","Setophaga townsendi","SRF29M02","6/29/2017","6:05","Owl Creek FSR, Pemberton","50 21.793","122 44.424",489,"Conifer",80,"Douglas Fir",3,"3","5","PISI, BTYW","creek","Y","MJO",1,"yes",NA,"clear",NA
"186","Setophaga townsendi","SRF29M04","6/29/2017","11:00","Sea-to-Sky Trail off Birkenhead River Rd, Pemberton","50 27.396","122 41.702",606,"Mixed Conifer and Hardwood",80,"Douglas Fir",3,"4","10","SWTH, CAVI, RBNU",NA,"N","LIMM",1,"maybe",NA,"clear",NA
"187","Setophaga townsendi","SRF30M01","6/30/2017","7:25","Shadow Lake Trail, Pemberton","50 13.232","122 53.018",483,"Conifer",80,"Douglas Fir",3,"6","9","BTYW, WAVI","traffic","Y","MJO",2,"maybe (1)",NA,"buzzy",NA
"188","Setophaga townsendi","SRG01M03","7/1/2017","9:08","High Trail, Brohm Lake Interpretive Forest, Squamish","49 48.840","123 08.333",292,"Conifer",80,"Western Hemlock",4,"5","5","PAWR, AMRO",NA,"N","MJO",1,"",NA,"",NA
"189","Setophaga townsendi","SRG02M01","7/2/2017","8:12","Four Lakes Trail, Alice Lake Provinical Park, Squamish","49 47.221","123 07.495",228,"Conifer",90,"Douglas Fir",5,"2","5","PAWR, SWTH, WETA, HAWO",NA,"N","MJO",1,"yes",NA,"b/c",NA
"190","Setophaga townsendi","SRG02M02","7/2/2017","8:21","Four Lakes Trail, Alice Lake Provinical Park, Squamish","49 47.162","123 07.499",236,"Conifer",95,"Douglas Fir",5,"4","12","PAWR, SWTH, WETA, HAWO, BRCR",NA,"N","MJO",1,"yes",NA,"clear",NA
"191","Setophaga townsendi","SRG02M03","7/2/2017","8:45","Four Lakes Trail, Alice Lake Provinical Park, Squamish","49 47.064","123 07.426",232,"Conifer",95,"Red Cedar",5,"2","5",NA,NA,"N","MJO",1,"yes",NA,"clear",NA
"192","Setophaga townsendi","SRG04M01","7/4/2017","8:45","Bridge Trail, Brohm Lake Interpretive Trail, Squamish","49 48.736","123 07.791",337,"Conifer",75,"Western Hemlock",3,"4","5","DEJU",NA,"Y","MJO",3,"yes (1,2)",NA,"b/c","clear song"
"193","Setophaga townsendi","SRG04M02","7/4/2017","9:00","High Trail, Brohm Lake Interpretive Forest, Squamish","49 48.733","123 08.020",305,"Conifer",90,"Western Hemlock",4,"5","5","PAWR",NA,"Y","MJO",3,"yes (1,3)",NA,"clear","clear song"
"194","Setophaga townsendi","SRG04M03","7/4/2017","9:20","High Trail, Brohm Lake Interpretive Forest, Squamish","49 48.844","123 08.049",360,"Conifer",80,"Douglas Fir",4,"4","15","PSFL",NA,"Y","MJO",2,"yes (1,2)",NA,"clear",NA
